B,G,R,Label
126,0,110,Purple
238,255,237,White
232,255,244,White
10,5,250,Red
240,246,238,White
217,16,34,Blue
227,245,231,White
52,245,33,Green
11,5,230,Red
14,216,236,Yellow
232,249,255,White
205,0,0,Blue
13,1,238,Red
13,22,5,Black
10,0,255,Red
229,114,209,Violet
3,0,20,Black
114,2,82,Indigo
18,15,240,Red
138,15,143,Purple
18,152,241,Orange
125,0,61,Indigo
248,226,249,White
28,144,255,Orange
15,19,240,Red
1,11,244,Red
2,218,255,Yellow
232,81,211,Violet
17,11,241,Red
241,244,248,White
6,6,235,Red
59,241,3,Green
36,244,0,Green
14,4,232,Red
15,229,233,Yellow
249,236,236,White
6,2,247,Red
245,0,51,Blue
250,243,249,White
253,243,231,White
188,23,0,Blue
0,237,35,Green
182,45,16,Blue
112,0,71,Indigo
0,186,50,Green
111,12,124,Purple
135,6,138,Purple
243,8,52,Blue
11,248,255,Yellow
32,255,40,Green
0,218,210,Yellow
9,17,238,Red
20,132,255,Orange
27,214,0,Green
7,2,244,Red
16,223,38,Green
237,17,41,Blue
223,112,197,Violet
224,82,214,Violet
214,0,30,Blue
25,121,255,Orange
205,0,43,Blue
253,254,230,White
0,26,15,Black
229,2,21,Blue
206,40,46,Blue
23,126,255,Orange
246,255,247,White
1,183,35,Green
248,254,226,White
2,6,4,Black
113,2,63,Indigo
26,13,3,Black
10,190,0,Green
227,113,192,Violet
0,245,215,Yellow
203,18,48,Blue
137,0,68,Indigo
238,239,238,White
198,0,13,Blue
0,223,255,Yellow
135,15,91,Indigo
0,132,255,Orange
20,138,255,Orange
188,53,8,Blue
0,194,4,Green
27,11,25,Black
0,136,241,Orange
141,14,141,Purple
18,2,234,Red
236,253,250,White
10,21,19,Black
128,2,89,Indigo
17,1,232,Red
236,8,9,Blue
131,20,62,Indigo
0,135,246,Orange
238,250,250,White
231,244,238,White
39,215,22,Green
8,18,241,Red
4,23,16,Black
8,16,234,Red
6,255,228,Yellow
14,10,6,Black
225,226,244,White
220,0,0,Blue
225,99,190,Violet
227,51,0,Blue
1,8,233,Red
0,239,246,Yellow
29,22,25,Black
14,14,231,Red
222,41,0,Blue
47,193,60,Green
228,239,230,White
248,37,3,Blue
4,16,244,Red
17,243,49,Green
146,11,124,Purple
243,226,246,White
146,0,85,Indigo
15,13,230,Red
227,97,218,Violet
0,222,225,Yellow
112,0,110,Purple
0,245,255,Yellow
123,0,77,Indigo
228,229,242,White
229,242,253,White
24,236,54,Green
242,242,248,White
6,14,233,Red
10,29,26,Black
0,255,253,Yellow
211,36,0,Blue
9,8,2,Black
226,232,238,White
0,218,226,Yellow
150,6,89,Indigo
26,10,4,Black
10,5,18,Black
244,225,227,White
228,26,38,Blue
1,121,255,Orange
148,1,137,Purple
114,0,78,Indigo
49,208,0,Green
7,149,242,Orange
141,16,143,Purple
216,113,183,Violet
254,232,241,White
29,182,21,Green
230,238,255,White
28,6,19,Black
0,7,236,Red
14,16,245,Red
0,251,213,Yellow
234,99,189,Violet
16,29,5,Black
255,234,246,White
9,1,251,Red
193,4,32,Blue
27,15,4,Black
25,237,255,Yellow
196,16,41,Blue
8,233,0,Green
30,29,18,Black
237,235,243,White
119,0,145,Purple
13,5,12,Black
239,82,186,Violet
13,4,26,Black
0,220,55,Green
39,225,29,Green
2,6,245,Red
242,236,250,White
0,148,249,Orange
226,232,230,White
208,112,210,Violet
109,8,131,Purple
2,5,255,Red
0,210,246,Yellow
255,20,24,Blue
10,27,17,Black
2,5,255,Red
4,12,231,Red
17,3,246,Red
23,22,14,Black
30,26,5,Black
255,27,36,Blue
18,13,245,Red
116,20,140,Purple
28,14,19,Black
23,0,9,Black
11,206,24,Green
203,80,220,Violet
19,20,244,Red
114,0,72,Indigo
5,219,222,Yellow
2,18,28,Black
203,0,25,Blue
47,250,46,Green
237,248,235,White
2,211,255,Yellow
201,0,33,Blue
40,255,225,Yellow
225,31,28,Blue
25,155,255,Orange
0,238,56,Green
1,0,255,Red
228,114,194,Violet
1,255,214,Yellow
13,3,240,Red
10,5,232,Red
1,238,237,Yellow
1,4,5,Black
232,251,236,White
26,24,30,Black
53,205,0,Green
252,247,241,White
14,4,3,Black
240,240,226,White
3,13,232,Red
236,251,243,White
226,251,230,White
112,0,131,Purple
0,15,30,Black
240,34,44,Blue
251,254,240,White
135,16,122,Purple
19,13,243,Red
4,221,43,Green
18,121,255,Orange
243,244,246,White
207,0,3,Blue
10,14,230,Red
0,148,242,Orange
6,7,238,Red
1,4,7,Black
15,16,28,Black
148,1,68,Indigo
38,247,12,Green
26,15,25,Black
111,19,65,Indigo
232,95,220,Violet
14,223,241,Yellow
209,103,186,Violet
229,87,207,Violet
201,56,0,Blue
22,145,255,Orange
3,3,7,Black
210,21,0,Blue
235,234,251,White
14,159,255,Orange
19,227,36,Green
0,239,255,Yellow
1,4,245,Red
14,136,255,Orange
211,24,37,Blue
237,251,255,White
0,7,246,Red
0,190,6,Green
135,0,93,Indigo
8,22,14,Black
195,0,0,Blue
0,241,238,Yellow
15,27,30,Black
242,58,17,Blue
225,120,195,Violet
52,225,16,Green
27,136,255,Orange
12,5,5,Black
8,4,252,Red
36,224,234,Yellow
242,0,50,Blue
131,0,144,Purple
218,118,214,Violet
233,247,236,White
255,240,234,White
30,17,0,Black
140,14,132,Purple
229,251,233,White
3,131,255,Orange
244,235,246,White
240,89,219,Violet
5,16,6,Black
15,9,26,Black
197,49,28,Blue
245,246,248,White
124,0,87,Indigo
238,102,202,Violet
228,233,249,White
248,60,23,Blue
141,0,144,Purple
43,211,19,Green
201,101,211,Violet
225,238,233,White
237,110,195,Violet
215,109,182,Violet
200,80,210,Violet
212,90,211,Violet
13,12,231,Red
16,147,255,Orange
248,226,255,White
130,0,148,Purple
255,253,246,White
147,0,114,Purple
237,120,191,Violet
115,19,110,Purple
12,146,255,Orange
2,253,210,Yellow
24,233,216,Yellow
123,0,82,Indigo
244,40,34,Blue
0,123,252,Orange
140,19,72,Indigo
238,234,232,White
245,237,250,White
3,225,245,Yellow
209,120,196,Violet
14,139,255,Orange
236,57,35,Blue
0,7,26,Black
225,243,255,White
28,16,20,Black
32,228,248,Yellow
220,81,182,Violet
3,130,245,Orange
26,16,0,Black
126,0,133,Purple
116,0,72,Indigo
0,146,255,Orange
20,245,30,Green
14,12,237,Red
147,0,127,Purple
0,243,255,Yellow
18,134,255,Orange
0,17,238,Red
0,131,242,Orange
6,243,255,Yellow
229,235,244,White
15,255,255,Yellow
12,13,237,Red
7,152,255,Orange
0,212,0,Green
199,0,56,Blue
17,137,237,Orange
109,17,138,Purple
239,0,17,Blue
20,28,27,Black
146,13,117,Purple
7,16,243,Red
4,18,244,Red
18,25,19,Black
0,182,34,Green
2,2,238,Red
24,18,3,Black
5,19,244,Red
115,16,85,Indigo
17,146,248,Orange
20,180,0,Green
10,1,255,Red
3,0,253,Red
59,180,51,Green
20,24,24,Black
14,255,23,Green
255,16,0,Blue
135,7,87,Indigo
131,5,144,Purple
119,18,59,Indigo
16,23,17,Black
140,14,122,Purple
0,157,255,Orange
198,6,14,Blue
1,30,25,Black
240,254,242,White
119,8,79,Indigo
0,227,255,Yellow
142,20,131,Purple
233,108,204,Violet
209,24,57,Blue
4,137,248,Orange
18,229,248,Yellow
15,9,250,Red
239,241,236,White
28,1,16,Black
232,237,238,White
112,0,140,Purple
0,138,255,Orange
1,19,233,Red
233,242,240,White
200,106,202,Violet
248,232,246,White
130,7,144,Purple
0,146,255,Orange
18,13,20,Black
28,146,255,Orange
27,4,18,Black
7,191,21,Green
39,248,243,Yellow
146,5,109,Purple
129,20,108,Purple
14,143,235,Orange
14,9,25,Black
239,244,228,White
1,18,240,Red
5,24,12,Black
135,0,121,Purple
246,31,29,Blue
21,147,255,Orange
0,241,60,Green
13,8,239,Red
217,18,55,Blue
11,202,0,Green
183,52,58,Blue
235,247,252,White
227,237,248,White
200,19,36,Blue
229,234,241,White
246,39,56,Blue
19,28,28,Black
15,121,250,Orange
118,2,91,Indigo
2,154,255,Orange
236,93,193,Violet
1,2,255,Red
109,15,126,Purple
32,246,253,Yellow
5,5,238,Red
14,23,3,Black
144,0,75,Indigo
0,234,255,Yellow
228,250,233,White
7,15,247,Red
206,0,0,Blue
20,157,248,Orange
0,231,229,Yellow
23,9,30,Black
231,105,217,Violet
137,0,109,Purple
231,240,249,White
143,11,78,Indigo
11,13,244,Red
227,238,248,White
140,0,75,Indigo
227,252,241,White
39,239,4,Green
17,10,12,Black
191,34,0,Blue
147,0,91,Indigo
15,255,225,Yellow
236,253,232,White
4,233,255,Yellow
2,8,250,Red
30,10,2,Black
17,225,226,Yellow
190,0,0,Blue
16,26,17,Black
1,15,3,Black
8,130,255,Orange
20,142,252,Orange
128,0,68,Indigo
120,0,89,Indigo
48,254,56,Green
10,18,246,Red
0,134,238,Orange
3,3,235,Red
42,206,52,Green
6,1,255,Red
126,14,57,Indigo
129,0,68,Indigo
212,31,0,Blue
4,5,255,Red
243,227,226,White
19,1,29,Black
233,19,53,Blue
28,224,236,Yellow
6,17,250,Red
13,153,255,Orange
129,0,146,Purple
0,242,48,Green
18,12,240,Red
208,108,220,Violet
16,158,255,Orange
226,14,31,Blue
10,142,238,Orange
16,3,5,Black
25,141,255,Orange
17,3,230,Red
24,27,10,Black
124,7,125,Purple
5,128,255,Orange
17,4,240,Red
243,241,226,White
234,100,207,Violet
184,48,54,Blue
11,133,241,Orange
27,147,252,Orange
227,28,17,Blue
231,82,202,Violet
3,18,20,Black
31,236,0,Green
123,1,128,Purple
205,32,0,Blue
17,4,230,Red
0,155,255,Orange
238,90,207,Violet
14,18,236,Red
28,222,15,Green
114,7,92,Indigo
41,193,0,Green
136,0,83,Indigo
0,218,49,Green
224,92,210,Violet
30,22,14,Black
10,158,249,Orange
230,238,241,White
229,12,51,Blue
146,17,89,Indigo
0,143,236,Orange
210,20,19,Blue
133,0,134,Purple
255,58,0,Blue
232,86,181,Violet
13,208,33,Green
16,11,19,Black
30,128,237,Orange
24,5,9,Black
15,239,0,Green
0,160,243,Orange
28,2,15,Black
25,4,16,Black
234,246,244,White
4,157,237,Orange
0,186,57,Green
145,0,82,Indigo
13,15,231,Red
249,236,237,White
1,18,240,Red
113,11,84,Indigo
4,23,9,Black
0,219,218,Yellow
26,183,0,Green
8,189,0,Green
193,0,0,Blue
14,27,30,Black
147,0,84,Indigo
232,251,233,White
15,16,247,Red
28,255,214,Yellow
12,142,251,Orange
6,8,255,Red
18,8,234,Red
127,0,116,Purple
4,15,237,Red
22,125,252,Orange
234,86,218,Violet
217,15,36,Blue
204,3,47,Blue
235,237,231,White
10,7,242,Red
6,7,24,Black
241,231,242,White
136,0,146,Purple
57,238,58,Green
55,195,0,Green
0,12,6,Black
115,0,89,Indigo
3,216,220,Yellow
12,129,247,Orange
130,0,147,Purple
146,0,89,Indigo
113,13,57,Indigo
4,8,236,Red
0,126,240,Orange
6,134,244,Orange
25,227,4,Green
8,239,0,Green
233,85,202,Violet
0,248,21,Green
189,0,24,Blue
0,255,243,Yellow
237,237,236,White
11,10,239,Red
24,15,27,Black
246,232,248,White
27,127,255,Orange
58,197,32,Green
252,25,33,Blue
21,242,255,Yellow
203,46,35,Blue
112,0,109,Purple
2,145,236,Orange
0,207,9,Green
0,128,255,Orange
248,8,40,Blue
39,202,9,Green
247,243,225,White
8,3,232,Red
0,255,217,Yellow
132,8,83,Indigo
2,9,246,Red
204,0,0,Blue
120,0,139,Purple
237,118,185,Violet
212,117,194,Violet
12,11,242,Red
30,240,238,Yellow
252,237,241,White
226,255,245,White
9,1,250,Red
136,11,68,Indigo
3,8,253,Red
5,16,23,Black
109,0,110,Purple
28,8,7,Black
4,8,238,Red
215,117,208,Violet
5,13,18,Black
207,101,188,Violet
132,16,143,Purple
9,17,249,Red
132,7,86,Indigo
8,237,255,Yellow
218,16,0,Blue
17,26,25,Black
221,0,28,Blue
0,226,251,Yellow
227,247,244,White
120,0,141,Purple
145,0,133,Purple
0,221,53,Green
148,10,88,Indigo
1,30,30,Black
237,0,0,Blue
233,43,29,Blue
225,228,255,White
0,153,255,Orange
254,0,31,Blue
5,12,238,Red
3,220,255,Yellow
30,23,19,Black
18,24,24,Black
27,181,14,Green
204,98,202,Violet
6,3,255,Red
28,246,255,Yellow
3,3,236,Red
189,0,0,Blue
0,216,224,Yellow
20,132,255,Orange
0,255,255,Yellow
141,16,111,Purple
20,29,16,Black
12,153,249,Orange
0,255,223,Yellow
143,20,84,Indigo
9,121,238,Orange
2,3,12,Black
208,100,193,Violet
12,1,238,Red
29,160,255,Orange
34,214,224,Yellow
127,1,134,Purple
122,11,79,Indigo
12,246,23,Green
19,240,231,Yellow
246,229,226,White
112,0,144,Purple
5,7,255,Red
188,29,32,Blue
253,237,251,White
223,82,220,Violet
16,4,243,Red
0,147,242,Orange
246,30,19,Blue
1,13,10,Black
31,196,25,Green
140,0,79,Indigo
216,0,9,Blue
30,136,255,Orange
240,5,54,Blue
119,0,61,Indigo
4,20,243,Red
7,16,8,Black
139,0,69,Indigo
149,15,91,Indigo
18,140,255,Orange
7,143,252,Orange
232,27,7,Blue
240,242,236,White
21,138,252,Orange
209,113,207,Violet
5,255,245,Yellow
139,1,127,Purple
8,11,11,Black
2,7,30,Black
13,154,240,Orange
126,0,132,Purple
9,212,249,Yellow
234,243,247,White
248,231,238,White
8,13,29,Black
36,252,255,Yellow
244,247,234,White
114,7,148,Purple
22,9,28,Black
239,235,232,White
231,33,59,Blue
13,136,255,Orange
2,0,250,Red
220,111,210,Violet
148,13,92,Indigo
32,186,0,Green
237,236,241,White
234,251,230,White
24,241,10,Green
27,194,0,Green
22,21,16,Black
7,7,233,Red
22,6,8,Black
19,11,230,Red
9,29,0,Black
180,55,41,Blue
226,232,255,White
40,247,0,Green
0,252,227,Yellow
9,29,3,Black
119,0,127,Purple
1,6,240,Red
13,8,232,Red
133,20,133,Purple
10,3,251,Red
0,255,255,Yellow
125,0,77,Indigo
255,33,10,Blue
6,14,21,Black
147,11,59,Indigo
25,184,0,Green
18,12,26,Black
20,9,246,Red
148,20,76,Indigo
141,12,113,Purple
37,233,43,Green
221,0,58,Blue
229,226,252,White
19,20,27,Black
7,10,235,Red
17,151,244,Orange
255,233,229,White
10,6,0,Black
241,225,251,White
0,230,249,Yellow
26,184,25,Green
2,16,242,Red
219,55,58,Blue
6,14,232,Red
15,20,241,Red
235,254,245,White
206,0,0,Blue
222,82,209,Violet
142,0,78,Indigo
245,228,235,White
255,227,243,White
1,8,1,Black
19,9,236,Red
22,1,25,Black
139,17,82,Indigo
136,0,139,Purple
24,5,5,Black
8,24,19,Black
11,9,239,Red
120,8,80,Indigo
202,84,206,Violet
249,254,234,White
228,240,232,White
237,232,247,White
13,237,36,Green
111,0,62,Indigo
19,17,243,Red
12,242,255,Yellow
244,246,243,White
205,101,219,Violet
114,0,121,Purple
254,238,232,White
254,226,248,White
13,0,237,Red
46,255,42,Green
231,242,227,White
187,21,49,Blue
0,141,255,Orange
235,245,239,White
39,200,7,Green
16,133,243,Orange
242,230,225,White
34,254,255,Yellow
251,250,233,White
225,251,235,White
140,10,74,Indigo
220,102,206,Violet
137,0,145,Purple
210,98,219,Violet
115,0,134,Purple
16,5,7,Black
19,158,252,Orange
234,117,201,Violet
248,233,251,White
17,2,237,Red
225,248,231,White
17,190,25,Green
19,156,255,Orange
10,221,58,Green
21,7,18,Black
5,5,19,Black
138,0,63,Indigo
227,113,185,Violet
233,23,12,Blue
11,234,16,Green
255,0,14,Blue
15,25,0,Black
36,226,253,Yellow
20,11,246,Red
29,30,18,Black
2,2,248,Red
0,123,246,Orange
254,243,255,White
18,130,255,Orange
204,114,209,Violet
237,238,228,White
6,5,255,Red
150,0,65,Indigo
126,0,55,Indigo
241,236,239,White
0,130,255,Orange
255,46,42,Blue
188,0,0,Blue
145,0,89,Indigo
12,230,7,Green
6,143,255,Orange
209,81,190,Violet
132,8,126,Purple
11,25,24,Black
241,252,242,White
1,131,235,Orange
118,5,135,Purple
0,233,231,Yellow
147,5,110,Purple
18,155,251,Orange
232,108,219,Violet
234,238,249,White
207,110,208,Violet
111,3,116,Purple
14,223,249,Yellow
18,213,234,Yellow
2,7,238,Red
247,244,243,White
150,1,65,Indigo
229,89,212,Violet
10,5,254,Red
133,4,95,Indigo
238,249,255,White
2,3,248,Red
22,212,59,Green
229,248,236,White
22,0,0,Black
15,16,244,Red
255,252,234,White
40,236,24,Green
218,87,192,Violet
16,211,222,Yellow
13,239,255,Yellow
113,0,115,Purple
3,158,250,Orange
120,15,115,Purple
23,183,52,Green
227,94,201,Violet
7,8,230,Red
135,0,127,Purple
223,105,213,Violet
117,10,113,Purple
235,227,228,White
225,60,48,Blue
136,0,78,Indigo
112,7,120,Purple
11,159,247,Orange
242,251,234,White
34,221,211,Yellow
200,90,214,Violet
232,55,0,Blue
1,7,235,Red
4,5,246,Red
130,0,109,Purple
227,81,206,Violet
6,4,23,Black
6,12,5,Black
14,0,248,Red
143,17,88,Indigo
181,25,34,Blue
238,240,253,White
120,10,143,Purple
5,6,255,Red
14,16,233,Red
8,123,238,Orange
234,109,218,Violet
26,26,19,Black
30,144,245,Orange
3,255,236,Yellow
10,251,242,Yellow
205,116,209,Violet
253,236,230,White
252,0,23,Blue
18,249,215,Yellow
238,5,28,Blue
4,139,247,Orange
203,117,212,Violet
208,95,216,Violet
12,12,235,Red
11,2,19,Black
244,225,228,White
185,55,16,Blue
237,225,230,White
223,0,22,Blue
26,136,247,Orange
0,151,244,Orange
10,24,6,Black
1,224,8,Green
203,12,30,Blue
139,5,146,Purple
0,230,225,Yellow
247,244,228,White
0,233,227,Yellow
13,0,15,Black
8,10,252,Red
19,29,4,Black
193,42,14,Blue
247,236,242,White
123,7,90,Indigo
38,237,255,Yellow
0,199,0,Green
130,0,59,Indigo
21,188,0,Green
244,236,225,White
145,0,120,Purple
210,88,191,Violet
3,12,240,Red
8,251,247,Yellow
209,50,2,Blue
28,141,255,Orange
12,18,29,Black
0,26,8,Black
126,0,129,Purple
23,2,21,Black
25,255,0,Green
222,17,54,Blue
134,3,109,Purple
12,219,23,Green
232,0,51,Blue
33,215,0,Green
118,0,81,Indigo
11,241,226,Yellow
134,0,125,Purple
250,242,252,White
10,124,255,Orange
133,9,139,Purple
240,225,253,White
222,1,53,Blue
19,0,246,Red
148,0,110,Purple
123,0,56,Indigo
14,15,5,Black
205,50,59,Blue
218,97,202,Violet
118,11,56,Indigo
10,139,244,Orange
13,17,233,Red
223,86,192,Violet
233,97,216,Violet
141,15,79,Indigo
2,160,249,Orange
7,122,255,Orange
19,19,236,Red
11,6,247,Red
56,223,56,Green
216,23,14,Blue
129,0,126,Purple
253,246,246,White
238,111,210,Violet
46,180,40,Green
254,237,249,White
237,107,181,Violet
34,243,248,Yellow
14,2,238,Red
15,9,249,Red
233,24,0,Blue
147,0,87,Indigo
12,4,234,Red
19,10,249,Red
141,0,67,Indigo
239,251,255,White
0,224,237,Yellow
244,252,228,White
0,235,49,Green
1,4,253,Red
0,255,212,Yellow
111,0,55,Indigo
243,230,246,White
201,3,0,Blue
215,96,184,Violet
31,211,255,Yellow
25,147,255,Orange
35,232,255,Yellow
10,18,249,Red
114,18,62,Indigo
17,153,237,Orange
1,121,255,Orange
18,8,237,Red
254,247,237,White
13,10,246,Red
21,255,255,Yellow
6,17,244,Red
196,20,6,Blue
8,255,32,Green
9,14,0,Black
17,19,240,Red
23,18,13,Black
0,254,27,Green
28,10,26,Black
0,136,255,Orange
133,0,60,Indigo
22,132,255,Orange
3,11,250,Red
252,254,245,White
57,224,24,Green
25,255,222,Yellow
0,212,255,Yellow
1,196,35,Green
36,255,234,Yellow
0,220,23,Green
17,19,238,Red
0,148,255,Orange
117,0,58,Indigo
13,29,26,Black
131,0,133,Purple
254,236,245,White
246,43,9,Blue
211,11,33,Blue
16,22,8,Black
35,244,211,Yellow
244,28,37,Blue
235,243,244,White
25,14,17,Black
22,255,210,Yellow
1,23,12,Black
111,19,59,Indigo
110,0,93,Indigo
223,83,188,Violet
12,139,255,Orange
200,36,0,Blue
227,242,243,White
13,10,238,Red
209,118,187,Violet
241,245,232,White
123,16,144,Purple
19,18,231,Red
22,23,8,Black
110,0,83,Indigo
3,146,255,Orange
237,104,214,Violet
219,0,0,Blue
129,15,126,Purple
19,253,57,Green
2,213,233,Yellow
1,3,253,Red
20,230,26,Green
18,7,238,Red
123,0,138,Purple
35,230,231,Yellow
22,214,247,Yellow
245,230,234,White
255,31,10,Blue
228,43,3,Blue
7,0,252,Red
0,223,220,Yellow
229,231,250,White
0,250,255,Yellow
250,251,226,White
213,0,13,Blue
216,45,40,Blue
216,83,217,Violet
246,233,237,White
24,156,255,Orange
15,30,6,Black
6,8,239,Red
0,235,42,Green
249,230,234,White
252,255,228,White
9,22,13,Black
15,22,16,Black
15,5,231,Red
0,186,34,Green
236,249,255,White
14,238,218,Yellow
210,118,186,Violet
203,110,200,Violet
0,216,249,Yellow
19,8,232,Red
239,84,219,Violet
24,233,255,Yellow
140,0,68,Indigo
18,13,243,Red
8,131,255,Orange
185,0,57,Blue
26,241,250,Yellow
121,7,112,Purple
0,252,255,Yellow
245,246,249,White
0,255,255,Yellow
21,218,236,Yellow
15,8,236,Red
19,5,6,Black
124,0,142,Purple
36,222,0,Green
24,17,11,Black
212,116,187,Violet
233,226,229,White
147,0,127,Purple
18,255,254,Yellow
28,3,8,Black
0,255,51,Green
5,22,1,Black
251,56,15,Blue
113,0,137,Purple
20,10,237,Red
8,17,1,Black
227,248,249,White
231,23,37,Blue
11,16,21,Black
0,203,3,Green
148,15,65,Indigo
5,16,245,Red
236,244,254,White
5,8,23,Black
236,255,255,White
250,242,248,White
0,255,241,Yellow
18,13,15,Black
233,44,37,Blue
243,252,231,White
10,229,234,Yellow
3,20,243,Red
243,251,247,White
238,114,194,Violet
0,205,9,Green
238,84,187,Violet
36,255,215,Yellow
6,6,4,Black
240,241,241,White
240,226,247,White
0,13,14,Black
252,243,249,White
248,244,248,White
30,137,247,Orange
19,255,219,Yellow
15,1,234,Red
35,255,250,Yellow
11,252,233,Yellow
116,15,120,Purple
26,247,41,Green
213,14,21,Blue
136,4,94,Indigo
20,220,252,Yellow
128,0,63,Indigo
9,15,243,Red
221,100,180,Violet
